[recv_probe] listening 127.0.0.1:5000  (Ctrl+C Í£Ö¹)
            µÈ´ý Host ¶Ë send_eth.py ·¢ËÍ SpiFrame(182B)...
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (0.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
